0.000000000000000000e+00,1.469308395902193976e+00,1.469002584025064895e+00
1.612867437587639952e+00,1.619312047322591042e+00,1.619006292771560052e+00
1.762871115472256056e+00,1.769315722828399995e+00,1.769010024946163995e+00
1.912874769318410051e+00,1.919319373982746990e+00,1.919013732800606054e+00
2.062878455215845008e+00,2.069323057313576797e+00,2.069017473379282102e+00
2.212882109061999003e+00,2.219326708624424160e+00,2.219021181797125042e+00
2.362885794959435071e+00,2.369330392283904185e+00,2.369024922094101093e+00
2.512889448805589065e+00,2.519334043406951107e+00,2.519028630731045215e+00
2.662893134703025133e+00,2.669337727035130836e+00,2.669032370949770083e+00
2.812896788549179128e+00,2.819341378220777905e+00,2.819036079602363909e+00
2.962900466433794122e+00,2.969345053789187894e+00,2.969039811667418149e+00
3.112904128292767858e+00,3.119348713410206031e+00,3.119043528145032163e+00
3.262907806177384185e+00,3.269352388665614839e+00,3.269047260257035958e+00
3.412911468036357920e+00,3.419356047973633128e+00,3.419050976812901155e+00
3.562915145920973803e+00,3.569359723307291787e+00,3.569054709316155982e+00
3.712918807779947983e+00,3.719363382834409926e+00,3.719058425183419114e+00
3.862922485664562977e+00,3.869367058042869179e+00,3.869062158156174824e+00
4.012926147523537601e+00,4.019370717554337169e+00,4.019065874054737364e+00
4.162929825408152595e+00,4.169374392887996272e+00,4.169069606902294112e+00
4.312933487267127219e+00,4.319378052399464707e+00,4.319073322957357242e+00
4.462937165151743102e+00,4.469381727733122922e+00,4.469077055460613401e+00
4.612940827010716838e+00,4.619385387307191948e+00,4.619080772079077413e+00
4.762944504895332720e+00,4.769389062484349573e+00,4.769084504347580911e+00
4.912948166754307344e+00,4.919392721980168304e+00,4.919088220762595220e+00
5.062951844638922339e+00,5.069396397360777407e+00,5.069091952952849311e+00
5.212955506497896963e+00,5.219400056934846432e+00,5.219095669618264210e+00
5.362959192395332586e+00,5.369403739983974688e+00,5.369099409852639226e+00
5.512962846241486581e+00,5.519407391513922789e+00,5.519103118442633793e+00
5.662966532138922204e+00,5.669411074719551635e+00,5.669106858723958808e+00
5.812970185985076199e+00,5.819414726139949146e+00,5.819110567126151601e+00
5.962973871882511823e+00,5.969418409705529172e+00,5.969114307391826912e+00
6.112977533741485558e+00,6.119422068935296721e+00,6.119118023744240631e+00
